0 40 0.577129
0 71 0.177068
0 79 0.465319
0 82 0.597118
0 642 0.201783
0 1156 0.225678
1 48 0.772211
1 65 0.909775
1 66 0.688711
1 101 0.653830
1 710 0.312464
2 2 0.666752
2 148 0.299186
2 219 0.303267
2 228 0.202693
2 721 0.293638
3 14 0.523378
3 35 0.782328
3 598 0.287704
3 634 0.309777
3 819 0.248995
4 53 0.277756
4 300 0.388902
4 547 0.271589
4 1411 0.191254
5 219 0.276036
5 360 0.208670
5 602 0.220702
5 994 0.247396
6 0 0.833948
6 4 0.760507
6 20 0.718115
6 431 0.191562
6 971 0.237059
6 1193 0.166764
6 1322 0.172915
7 13 0.789341
7 40 0.623835
7 49 0.445065
7 119 0.553446
7 267 0.505244
7 1656 0.229630
8 14 0.597237
8 72 0.766250
8 124 0.414370
8 337 0.523070
8 368 0.138774
8 373 0.348240
8 519 0.541077
8 672 0.266070
8 1662 0.220921
9 0 0.765389
9 2 0.582271
9 52 0.412820
9 459 0.124147
10 12 0.797371
10 13 0.827004
10 49 0.482727
10 110 0.265839
10 134 0.326981
10 244 0.550952
10 268 0.368419
10 300 0.511508
10 896 0.265662
10 1043 0.311724
11 22 0.745459
11 40 0.647232
11 125 0.574188
11 302 0.368917
11 939 0.392670
12 14 0.584349
12 24 0.612745
12 38 0.445500
12 75 0.634052
12 229 0.490419
12 243 0.644149
12 244 0.476839
12 300 0.437396
12 1030 0.248262
13 10 0.614159
13 13 0.830869
13 235 0.395381
13 263 0.432098
13 271 0.277976
13 365 0.473383
13 377 0.336423
13 651 0.266534
13 750 0.311427
14 58 0.274810
14 95 0.532623
14 121 0.570276
14 126 0.400110
14 232 0.272134
14 378 0.409873
14 519 0.471129
14 1184 0.450230
15 0 0.796084
15 10 0.494533
15 157 0.200689
15 259 0.184177
15 519 0.486538
15 557 0.294320
15 1199 0.166104
16 41 0.811185
16 110 0.156536
16 291 0.237756
16 373 0.300156
16 796 0.107454
16 865 0.224372
16 1241 0.246661
17 28 0.214920
17 56 0.704015
17 95 0.505993
17 126 0.373476
17 146 0.380441
17 290 0.294645
17 302 0.225381
17 307 0.485148
17 672 0.169490
17 800 0.198403
17 835 0.224471
17 874 0.186701
17 1542 0.113523
18 48 0.639199
18 248 0.254511
18 273 0.198117
18 327 0.210002
18 1184 0.430139
19 18 0.460529
19 41 0.919104
19 82 0.680102
19 244 0.549567
20 124 0.353561
20 263 0.306200
20 598 0.300756
20 1567 0.168363
21 6 0.658859
21 11 0.799810
21 13 0.731678
21 14 0.563135
21 56 0.766493
21 82 0.586163
21 308 0.300064
21 367 0.303488
21 519 0.506975
22 0 0.837013
22 6 0.679352
22 10 0.535461
22 21 0.528088
22 35 0.842578
22 99 0.714089
22 125 0.513621
22 126 0.456448
22 171 0.565424
22 222 0.479113
22 302 0.308351
22 381 0.439024
22 634 0.370027
22 791 0.267585
23 0 0.776686
23 14 0.523299
23 66 0.571804
23 126 0.396118
23 171 0.505098
23 278 0.470214
23 305 0.163959
23 627 0.193409
23 1001 0.165819
23 1260 0.214929
24 2 0.616940
24 28 0.260934
24 126 0.419493
24 290 0.340658
24 300 0.399719
24 302 0.271394
24 716 0.354529
25 118 0.304592
25 134 0.220417
25 182 0.251160
25 256 0.410223
25 335 0.242608
25 497 0.430309
26 43 0.726089
26 53 0.375814
26 82 0.656939
26 107 0.772092
26 222 0.529397
26 246 0.304283
26 263 0.403683
26 599 0.367722
26 627 0.304021
26 1138 0.207224
27 165 0.378109
27 602 0.190067
27 662 0.183970
28 62 0.323629
28 72 0.705291
28 267 0.420725
28 412 0.482077
29 0 0.872647
29 75 0.668965
29 167 0.389659
29 768 0.253137
29 818 0.214696
29 1645 0.320013
30 14 0.542847
30 40 0.545885
30 82 0.565874
30 171 0.524642
30 230 0.194274
30 263 0.312617
30 354 0.318722
30 373 0.293848
30 1089 0.392862
31 49 0.542323
31 72 0.887068
31 99 0.848516
